0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.42, 0.73, 0.84, 0.77, 0.41, 0, 0, 0
0, 0, 0.65, 1.29, 1.77, 2.01, 1.78, 1.26, 0.63, 0, 0
0, 0.44, 1.34, 2.33, 3.22, 3.57, 3.22, 2.34, 1.34, 0.46, 0
0, 0.8, 1.95, 3.46, 5.3, 7.15, 5.3, 3.35, 1.97, 0.87, 0
0, 0.99, 2.17, 3.99, 6.78, 10, 6.83, 3.89, 2.24, 0.99, 0
0, 0.79, 1.93, 3.38, 5.21, 6.9, 5.47, 3.53, 1.99, 0.87, 0
0, 0.42, 1.3, 2.3, 3.11, 3.54, 3.34, 2.45, 1.42, 0.49, 0
0, 0, 0.63, 1.29, 1.82, 1.91, 1.87, 1.37, 0.73, 0, 0
0, 0, 0, 0.39, 0.72, 0.74, 0.75, 0.45, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
