2.45, 2.6, 2.85, 3.21, 3.47, 4, 4.55, 5.05, 5.6, 6.12, 6.56, 6.94, 7.21, 7.4, 7.47
2.3, 2.42, 2.68, 3.02, 3.48, 3.94, 4.53, 5.04, 5.65, 6.17, 6.64, 7.03, 7.32, 7.52, 7.56
2.07, 2.18, 2.45, 2.84, 3.31, 3.83, 4.43, 5.03, 5.63, 6.25, 6.8, 7.29, 7.59, 7.8, 7.88
1.72, 1.75, 1.96, 2.45, 3.07, 3.7, 4.35, 5.02, 5.74, 6.35, 7.02, 7.64, 8.05, 8.23, 8.24
1.35, 1.18, 1.05, 1.86, 2.74, 3.58, 4.3, 5, 5.78, 6.52, 7.33, 8.22, 8.94, 8.8, 8.68
1.16, 0.62, 0, 1.3, 2.56, 3.46, 4.24, 5, 5.7, 6.49, 7.41, 8.67, 10, 9.37, 8.94
1.33, 1.13, 1, 1.75, 2.73, 3.54, 4.25, 5, 5.7, 6.42, 7.24, 8.16, 8.96, 8.9, 8.73
1.73, 1.75, 1.9, 2.38, 3.02, 3.66, 4.3, 4.99, 5.62, 6.21, 6.92, 7.52, 7.96, 8.19, 8.19
2.05, 2.15, 2.38, 2.74, 3.23, 3.75, 4.33, 4.93, 5.53, 6.14, 6.67, 7.12, 7.51, 7.73, 7.81
2.3, 2.42, 2.64, 2.95, 3.36, 3.83, 4.35, 4.91, 5.46, 6.01, 6.48, 6.9, 7.21, 7.42, 7.51
2.43, 2.56, 2.76, 3.07, 3.43, 3.88, 4.37, 4.91, 5.37, 5.93, 6.39, 6.77, 7.07, 7.27, 7.35
